Accuracy,f1,Precision,Recall,pattern_acc
0.4207899272441864,0.2135416716337204,0.18334265053272247,0.1972932368516922,0.25
0.81640625,0.8444119691848755,0.6461710333824158,0.7321089506149292,0.755859375
0.7024739384651184,0.5915061235427856,0.755170464515686,0.6633930802345276,0.5182291865348816
0.8420138955116272,0.7992103695869446,0.7920625805854797,0.7956204414367676,0.796875
0.8415798544883728,0.8006814122200012,0.7881498336791992,0.7943662405014038,0.849609375
0.8394097685813904,0.770779550075531,0.8345444202423096,0.8013955354690552,0.8059895634651184
0.7953558564186096,0.7582417726516724,0.6942425966262817,0.7248321771621704,0.7858073115348816
0.8452691435813904,0.8387909531593323,0.7445500493049622,0.788865864276886,0.8743489384651184
0.787109375,0.7547288537025452,0.6690889000892639,0.7093333005905151,0.7936198115348816
0.8404948115348816,0.7764952778816223,0.8272777795791626,0.8010825514793396,0.8802083134651184
0.8474392294883728,0.8117106556892395,0.7903856635093689,0.800906240940094,0.837890625
0.88671875,0.8659734129905701,0.8378982543945312,0.8517045378684998,0.9466145634651184
0.8869357705116272,0.8664739727973938,0.8378982543945312,0.8519466519355774,0.9518229365348816
0.8786892294883728,0.8474576473236084,0.8384572267532349,0.8429334163665771,0.9544270634651184
0.8838975429534912,0.8586956262588501,0.8390161991119385,0.8487418293952942,0.9524739384651184
0.8745660185813904,0.8485895395278931,0.8239240050315857,0.8360748887062073,0.9453125
0.8821614384651184,0.8488242030143738,0.8474007844924927,0.8481119275093079,0.9537760615348816
0.8830295205116272,0.8663540482521057,0.8261598944664001,0.8457797169685364,0.951171875
0.8734808564186096,0.8238453269004822,0.8574622869491577,0.8403177857398987,0.9479166865348816
0.8732638955116272,0.8371572494506836,0.8362213373184204,0.8366889953613281,0.9524739384651184
0.8758680820465088,0.8428168892860413,0.8362213373184204,0.8395061492919922,0.9505208134651184
0.8734808564186096,0.8349999785423279,0.8401341438293457,0.837559163570404,0.9524739384651184
0.8760850429534912,0.840223491191864,0.8406931161880493,0.8404582738876343,0.953125
0.8763020634651184,0.8354430198669434,0.8485187292098999,0.8419301509857178,0.9537760615348816
0.8754339814186096,0.8361926078796387,0.8446059226989746,0.8403782248497009,0.9518229365348816
0.8747829794883728,0.8359201550483704,0.8429290056228638,0.8394099473953247,0.955078125
0.8747829794883728,0.8340683579444885,0.8457238674163818,0.8398557305335999,0.9544270634651184
0.8771701455116272,0.8365437388420105,0.8496366739273071,0.8430394530296326,0.9524739384651184
0.8758680820465088,0.8389971852302551,0.8418110609054565,0.8404017686843872,0.953125
0.8758680820465088,0.8367459774017334,0.8451648950576782,0.8409343361854553,0.9557291865348816
0.875,0.833791971206665,0.8468418121337891,0.840266227722168,0.953125
0.8776041865348816,0.8435221314430237,0.8406931161880493,0.8421052098274231,0.9524739384651184
0.8754339814186096,0.8354500532150269,0.8457238674163818,0.8405556082725525,0.955078125
0.8756510615348816,0.8318777084350586,0.8518725633621216,0.8417564034461975,0.9557291865348816
0.8763020634651184,0.8391764163970947,0.8429290056228638,0.841048538684845,0.9544270634651184
0.8780381679534912,0.8395130038261414,0.8479597568511963,0.8437151908874512,0.9537760615348816
0.8741319179534912,0.8315962553024292,0.8474007844924927,0.839424192905426,0.955078125
0.8743489384651184,0.8320527076721191,0.8474007844924927,0.8396565914154053,0.9557291865348816
0.8758680820465088,0.8405148386955261,0.8395751714706421,0.8400447368621826,0.953125
0.8756510615348816,0.8340659141540527,0.8485187292098999,0.8412302732467651,0.9524739384651184
0.8771701455116272,0.836914598941803,0.8490777015686035,0.8429522514343262,0.9524739384651184
0.8756510615348816,0.8370288014411926,0.844046950340271,0.8405231833457947,0.9544270634651184
0.8734808564186096,0.8320484757423401,0.8446059226989746,0.838280200958252,0.955078125
0.8754339814186096,0.8380634188652039,0.8418110609054565,0.8399330973625183,0.9544270634651184
0.875,0.8356391787528992,0.844046950340271,0.8398220539093018,0.9537760615348816
0.8763020634651184,0.8391764163970947,0.8429290056228638,0.841048538684845,0.9544270634651184
0.8765191435813904,0.8370165824890137,0.8468418121337891,0.8419005274772644,0.9537760615348816
0.8756510615348816,0.8344334363937378,0.8479597568511963,0.8411422371864319,0.953125
0.8758680820465088,0.8363736867904663,0.8457238674163818,0.841022789478302,0.955078125
0.8776041865348816,0.8367234468460083,0.8507546186447144,0.843680739402771,0.9537760615348816
0.8765191435813904,0.8373894095420837,0.8462828397750854,0.8418126702308655,0.9544270634651184
